Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-07-25,17,1338.224094176097,875.173650119807,,,0.35926407945718103,1.1489566217021072,0.2511779113160074,1705,,,,,799493,,
2023-07-26,54,1432.341990396265,2037.5164425982207,2.0,2,0.510563173142328,1.1678498100560584,0.2547156302423192,3956,,,,,3268692,,
2023-07-27,77,1438.5404088087491,2293.3342569047827,24.0,24,0.47861011494116024,1.183972340858898,0.2511779113160074,4150,,,,1365123,1965805,,
2023-07-28,33,1333.6726994353808,1282.0186240315118,,,0.43900826308366164,1.242468272714869,0.27087708290509876,2334,,,,,680087,,
2023-07-29,20,1336.6842523449907,898.0353480491142,2.0,2,0.46197528897645385,1.4872161888874393,0.2612250277686477,1736,,,,,759095,,
2023-07-30,30,1361.966209529645,1073.0845973172645,,,0.4802152444664012,1.2113212492076637,0.2511779113160074,2155,,,,,1422373,,
2023-07-31,44,1380.226828245851,1311.0271489703248,5.0,5,0.4780381440547312,1.3605388965933667,0.2511779113160074,2387,,,,355543,1519755,,
2023-08-01,26,1343.4564809843623,1160.7850926622948,1.0,1,0.4274521003272975,1.2744161177622244,0.25909469362109644,2059,,,,,936767,,
2023-08-02,130,1567.3250630236032,6770.529917479311,29.0,29,0.5518272419032865,1.4036694816251725,0.24869100130297764,11173,,,,,6809995,,
2023-08-03,65,1429.2941719324544,2990.0510085047504,9.0,9,0.5376794657188368,1.5348684463386664,0.2511779113160074,5222,,,,,3188730,,
2023-08-04,92,1489.8779008228048,4393.9701512482525,26.0,26,0.49865843830450607,1.339899769818091,0.2602130926340619,7438,,,,,4778157,,
2023-08-05,14,1333.2535288142162,580.0065960454165,,,0.3694939606727092,1.9771071262415612,0.2813192606739283,1177,,,,,669089,,
2023-08-06,31,1342.834564736558,1205.3940557889957,,,0.4027737708804893,1.1262125035850787,0.2511779113160074,2491,,,,,920451,,
2023-08-07,127,1569.5012259351658,5702.5841376425315,14.0,14,0.6038171651820692,1.772758199122592,0.2511779113160074,9398,,,,,6867087,,
2023-08-08,101,1521.416633556422,4848.286872042397,11.0,11,0.4998363203409839,1.3451753926226024,0.271272144221288,7950,,,,,5605580,,
2023-08-09,86,1492.3124279468843,4123.758293505074,17.0,17,0.5948788606437516,1.456000627804536,0.2612250277686477,6758,,,,,4842026,,
